Year,Month,Domestic,Commercial,Industrial,Street lighting,Exports to the mainland of China,All groups
1997,Jun,2923,5972,1634,25,180,10734
1997,Jul,3631,6811,1787,25,190,12444
1997,Aug,3694,6449,1724,25,200,12091
1997,Sep,3662,6463,1728,39,186,12078
1997,Oct,2768,6457,1713,24,181,11143
1997,Nov,1991,5525,1535,25,162,9239
1997,Dec,1639,5309,1520,26,158,8651
1998,Jan,1724,4922,1373,25,133,8177
1998,Feb,1858,4823,1195,25,123,8025
1998,Mar,1668,4970,1389,26,159,8211
1998,Apr,2043,5869,1598,25,181,9716
1998,May,2615,6302,1542,26,201,10686
1998,Jun,3313,6797,1737,26,204,12077
1998,Jul,4091,7361,1801,26,225,13503
1998,Aug,4616,7388,1765,26,228,14022
1998,Sep,3877,7056,1684,26,211,12853
1998,Oct,3279,6771,1545,26,193,11814
1998,Nov,1863,6011,1481,26,170,9550
1998,Dec,1847,5588,1380,25,169,9009
1999,Jan,1521,5268,1277,26,163,8256
1999,Feb,1799,4818,1225,26,116,7984
1999,Mar,1395,5463,1277,26,174,8335
1999,Apr,2288,6187,1457,26,190,10148
1999,May,1885,6235,1423,26,197,9766
1999,Jun,3385,6921,1554,26,224,12109
1999,Jul,3942,7650,1658,26,236,13513
1999,Aug,4560,7370,1661,26,236,13852
1999,Sep,3474,7288,1575,27,210,12572
1999,Oct,3445,6859,1525,26,194,12048
1999,Nov,1650,6334,1519,26,175,9704
1999,Dec,2056,5637,1397,25,163,9278
2000,Jan,1459,5612,1377,26,159,8632
2000,Feb,2004,5101,1127,26,121,8378
2000,Mar,1862,5465,1342,26,175,8871
2000,Apr,1727,5972,1398,26,189,9312
2000,May,2366,7016,1588,26,210,11206
2000,Jun,3427,7677,1627,26,526,13284
2000,Jul,4087,7741,1626,32,775,14262
2000,Aug,4147,8042,1667,16,387,14258
2000,Sep,4020,7737,1628,20,419,13824
2000,Oct,3432,7501,1561,25,614,13133
2000,Nov,2044,6513,1480,33,294,10364
2000,Dec,1658,5969,1349,43,385,9405
2001,Jan,1633,6052,1289,33,173,9181
2001,Feb,1852,5451,1127,30,231,8692
2001,Mar,1766,6019,1319,33,369,9506
2001,Apr,1772,6262,1322,30,209,9595
2001,May,2570,7580,1541,29,545,12264
2001,Jun,3212,7739,1510,28,897,13387
2001,Jul,4052,8026,1514,27,700,14319
2001,Aug,4381,8294,1567,29,844,15115
2001,Sep,4015,8028,1516,31,506,14096
2001,Oct,3621,7736,1466,33,323,13179
2001,Nov,2221,6879,1357,31,383,10871
2001,Dec,1704,6147,1230,32,512,9625
2002,Jan,1747,6094,1164,35,794,9834
2002,Feb,1849,5555,1062,30,315,8811
2002,Mar,1714,5921,1098,30,587,9350
2002,Apr,2147,7202,1422,30,878,11679
2002,May,2630,7799,1456,28,901,12814
2002,Jun,3510,8014,1460,27,835,13845
2002,Jul,4489,8610,1545,29,889,15562
2002,Aug,4412,8490,1511,29,746,15188
2002,Sep,3868,8167,1430,30,590,14085
2002,Oct,3210,7947,1414,33,330,12935
2002,Nov,2011,6962,1304,32,323,10633
2002,Dec,1808,6478,1246,33,641,10206
2003,Jan,1884,6142,1117,35,632,9810
2003,Feb,1960,5795,996,30,562,9343
2003,Mar,1811,6212,1121,32,641,9816
2003,Apr,1986,6674,1313,30,571,10575
2003,May,2766,7749,1343,29,878,12765
2003,Jun,3424,7932,1340,28,864,13587
2003,Jul,4239,8833,1338,32,1321,15763
2003,Aug,4767,8838,1264,30,1224,16123
2003,Sep,4113,8440,1406,33,1132,15124
2003,Oct,4059,8312,1405,34,772,14581
2003,Nov,1347,7231,1174,34,827,10613
2003,Dec,2008,6678,1035,38,1403,11162
2004,Jan,1822,6247,1111,34,953,10168
2004,Feb,2199,5780,1026,33,583,9621
2004,Mar,1941,6423,1239,32,361,9997
2004,Apr,2081,7218,1150,33,567,11049
2004,May,2347,7684,1405,31,393,11860
2004,Jun,3475,8543,1383,29,1048,14477
2004,Jul,4576,9138,1421,29,996,16160
2004,Aug,4541,8861,1412,31,1255,16100
2004,Sep,4039,8895,1437,31,1048,15450
2004,Oct,3178,7931,1283,32,756,13179
2004,Nov,2063,7469,1290,34,1398,12254
2004,Dec,1870,7066,1274,34,1754,11998
2005,Jan,1923,6403,981,35,2095,11438
2005,Feb,2157,5982,1055,31,970,10194
2005,Mar,2205,6165,998,32,1650,11051
2005,Apr,2166,7173,1222,31,1188,11781
2005,May,2922,8243,1414,31,1323,13933
2005,Jun,3498,8868,1326,29,494,14216
2005,Jul,4402,8961,1322,29,1023,15736
2005,Aug,4321,9165,1357,33,929,15805
2005,Sep,4321,9184,1401,32,1629,16567
2005,Oct,3519,8545,1222,34,1305,14625
2005,Nov,2460,7814,1221,33,1512,13040
2005,Dec,1918,6837,1116,34,2073,11978
2006,Jan,1989,6284,960,33,1482,10749
2006,Feb,1881,5820,916,36,1239,9892
2006,Mar,2161,7002,1140,33,1471,11807
2006,Apr,2198,7523,1168,30,1302,12221
2006,May,3015,8632,1288,31,1101,14067
2006,Jun,3586,8863,1287,30,1019,14785
2006,Jul,5007,9663,1310,32,2084,18096
2006,Aug,4895,9482,1354,29,2021,17780
2006,Sep,3866,8717,1244,35,1464,15326
2006,Oct,3044,8485,1146,36,1100,13810
2006,Nov,1804,7823,1091,34,738,11490
2006,Dec,1983,7075,1110,33,1279,11481
2007,Jan,1911,6471,932,38,1926,11277
2007,Feb,1820,6128,918,32,589,9486
2007,Mar,2317,7230,935,32,1553,12067
2007,Apr,2091,7305,1120,32,1135,11683
2007,May,2899,8549,1183,30,1701,14363
2007,Jun,4166,9510,1259,29,1449,16412
2007,Jul,5932,10428,1326,32,1285,19003
2007,Aug,4590,9308,1160,32,758,15847
2007,Sep,3921,8717,1147,31,854,14669
2007,Oct,3006,8690,1063,36,878,13674
2007,Nov,1872,7493,995,34,808,11202
